vendor_sku,mfr_name_raw,item_desc_raw,raw_material,raw_size,raw_rating
LC1D25B7,Schneider Electric Corp (SCHN),TeSys D Contactor 3P 25A 24VAC Coil,Copper / Thermoplastic,25A,690V / 25A
QO120,Schneider Electric Corp (SCHN),QO 20 Amp Single-Pole Circuit Breaker 120V 10kA,Molded Case Thermoplastic,20A,120V / 20A
HOM250,Schneider Electric Corp (SCHN),Homeline 50 Amp Two-Pole Circuit Breaker 120/240V,Molded Case Thermoplastic,50A,120/240V / 50A
1221-2W,Leviton (MFR-5),Industrial Grade Heavy Duty Single-Pole Toggle Switch 20A 120/277V White,Impact Resistant Thermoplastic,20A,120/277V / 20A
5362-W,Leviton (MFR-6),Extra Heavy-Duty Industrial Spec Grade Duplex Receptacle 20A 125V White,Nylon / Brass Contacts,20A,125V / 20A
BR230,Eaton (MFR-7),Type BR Double-Pole Circuit Breaker 30A 120/240V 10kAIC,Thermoset Composite,30A,120/240V / 30A
DG1-34023FB-C21C,Eaton (MFR-8),PowerXL DG1 General Purpose Variable Frequency Drive 15HP 480V IP21,Engineered Polycarbonate / Aluminum,15 HP,480V 3PH / 23A
AF16-30-10-13,ABB (MFR-9),3-Pole Block Contactor 16A 100-250V AC/DC Coil 1NO,Thermoplastic / Silver Alloy,16A,690V / 16A
S201U-K20,ABB (MFR-10),Miniature Circuit Breaker 1-Pole K-Curve 20A 240VAC UL489,Halogen-Free Polymer,20A,240VAC / 20A
HBL5266C,Hubbell (MFR-11),Insulgrip Straight Blade Heavy Duty Male Plug 15A 125V NEMA 5-15P,Nylon / Brass Blades,15A,125V / 15A
LC1D25B7-02,Schneider Electric Corp (SCHN),TeSys D Contactor 3P 25A 24VAC Coil Series-2,Copper / Thermoplastic,25A,690V / 25A
QO120-02,Schneider Electric Corp (SCHN),QO 20 Amp Single-Pole Circuit Breaker 120V 10kA Series-2,Molded Case Thermoplastic,20A,120V / 20A
HOM250-02,Schneider Electric Corp (SCHN),Homeline 50 Amp Two-Pole Circuit Breaker 120/240V Series-2,Molded Case Thermoplastic,50A,120/240V / 50A
1221-2W-02,Leviton (MFR-15),Industrial Grade Heavy Duty Single-Pole Toggle Switch 20A 120/277V White Series-2,Impact Resistant Thermoplastic,20A,120/277V / 20A
5362-W-02,Leviton (MFR-16),Extra Heavy-Duty Industrial Spec Grade Duplex Receptacle 20A 125V White Series-2,Nylon / Brass Contacts,20A,125V / 20A
BR230-02,Eaton (MFR-17),Type BR Double-Pole Circuit Breaker 30A 120/240V 10kAIC Series-2,Thermoset Composite,30A,120/240V / 30A
DG1-34023FB-C21C-02,Eaton (MFR-18),PowerXL DG1 General Purpose Variable Frequency Drive 15HP 480V IP21 Series-2,Engineered Polycarbonate / Aluminum,15 HP,480V 3PH / 23A
AF16-30-10-13-02,ABB (MFR-19),3-Pole Block Contactor 16A 100-250V AC/DC Coil 1NO Series-2,Thermoplastic / Silver Alloy,16A,690V / 16A
S201U-K20-02,ABB (MFR-20),Miniature Circuit Breaker 1-Pole K-Curve 20A 240VAC UL489 Series-2,Halogen-Free Polymer,20A,240VAC / 20A
HBL5266C-02,Hubbell (MFR-21),Insulgrip Straight Blade Heavy Duty Male Plug 15A 125V NEMA 5-15P Series-2,Nylon / Brass Blades,15A,125V / 15A
LC1D25B7-03,Schneider Electric Corp (SCHN),TeSys D Contactor 3P 25A 24VAC Coil Series-3,Copper / Thermoplastic,25A,690V / 25A
QO120-03,Schneider Electric Corp (SCHN),QO 20 Amp Single-Pole Circuit Breaker 120V 10kA Series-3,Molded Case Thermoplastic,20A,120V / 20A
HOM250-03,Schneider Electric Corp (SCHN),Homeline 50 Amp Two-Pole Circuit Breaker 120/240V Series-3,Molded Case Thermoplastic,50A,120/240V / 50A
1221-2W-03,Leviton (MFR-25),Industrial Grade Heavy Duty Single-Pole Toggle Switch 20A 120/277V White Series-3,Impact Resistant Thermoplastic,20A,120/277V / 20A
5362-W-03,Leviton (MFR-26),Extra Heavy-Duty Industrial Spec Grade Duplex Receptacle 20A 125V White Series-3,Nylon / Brass Contacts,20A,125V / 20A
BR230-03,Eaton (MFR-27),Type BR Double-Pole Circuit Breaker 30A 120/240V 10kAIC Series-3,Thermoset Composite,30A,120/240V / 30A
DG1-34023FB-C21C-03,Eaton (MFR-28),PowerXL DG1 General Purpose Variable Frequency Drive 15HP 480V IP21 Series-3,Engineered Polycarbonate / Aluminum,15 HP,480V 3PH / 23A
AF16-30-10-13-03,ABB (MFR-29),3-Pole Block Contactor 16A 100-250V AC/DC Coil 1NO Series-3,Thermoplastic / Silver Alloy,16A,690V / 16A
S201U-K20-03,ABB (MFR-30),Miniature Circuit Breaker 1-Pole K-Curve 20A 240VAC UL489 Series-3,Halogen-Free Polymer,20A,240VAC / 20A
HBL5266C-03,Hubbell (MFR-31),Insulgrip Straight Blade Heavy Duty Male Plug 15A 125V NEMA 5-15P Series-3,Nylon / Brass Blades,15A,125V / 15A
LC1D25B7-04,Schneider Electric Corp (SCHN),TeSys D Contactor 3P 25A 24VAC Coil Series-4,Copper / Thermoplastic,25A,690V / 25A
