canonical,aliases,source
Philips,Phillips Lighting|Philips Lighting|Philips Lighting North America|Signify,curated
Kichler,Kichler Lighting,curated
Satco,Satco Prod Inc|Satco Products|Satco Products Inc,curated
Southwire,Southwire Company|Southwire/g Turner|Woods Wire Southwire|Woods Wire,curated
Kreg,Kreg Tool|Kreg Tool Company,curated
Hunter Fan,Hunter Fan Co|Hunter Fan Company,curated
Edge Eyewear,Edge Eyewear Inc,curated
U S Tape,US Tape|U S Tape Company|U.S. Tape,curated
Vessel,Vessel Tools|Vessel Tools USA Inc,curated
Oliver Machinery,Oliver Machinery Company,curated
Prime Wire & Cable,Prime Wire and Cable|Prime Wire & Cable Inc,curated
Bow Products,Bow Products Inc,curated
SawStop,Saw Stop|Saw Stop LLC,curated
Woodpeckers,Woodpeckers Inc,curated
Bosch,Robt Bosch Tool Corp|Robert Bosch Tool Corp|Robert Bosch Tool Corporation|Bosch Tools,curated
Velux,Velux America|Velux America Inc,curated
Whiteside Machine,Whiteside Machine & Repair Co|Whiteside Machine and Repair,curated
CMT,CMT USA Inc|CMT USA|CMT Orange Tools,curated
JPW Industries,JET Tools|JET|Powermatic|Wilton,curated
Wera,Wera Tools|Wera Tools NA Inc,curated
ProVia,ProVia LLC,curated
CertainTeed,Certainteed Gypsum|CertainTeed Gypsum|CertainTeed Corporation,curated
Hager Companies,Hager Hinge|Hager Hinge Co,curated
Cooper Lighting,Cooper Lighting Solutions,curated
Feit Electric,Feit Electric Company,curated
Senco,Senco Products|Senco Products Inc,curated
National Nail,National Nail Corp,curated
Prebena,Prebena Wilfried Bornemann,curated
Marshalltown,Marshalltown Trowel|Marshalltown Company,curated
First Alert,First Alert - B R K Brands|B R K Brands|BRK Brands,curated
Malco Products,Malco Prod|Malco,curated
King Canada,King Canada Inc,curated
Woodstock International,Woodstock Intl,curated
Emseal,Emseal Joint Systems|Emseal Joint Systems Ltd,curated
A J Manufacturing,A J Manufacturing Inc,curated
Huber Engineered Woods,Huber Eng Wood LLC|Huber Engineered Woods LLC,curated
Thomas & Betts,Thomas and Betts|Thomas & Betts Corporation,curated
Cooper Wiring Devices,Cooper Wiring,curated
Lithonia Lighting,Lithonia|Acuity Brands Lighting,curated
Keystone Technologies,Keystone Technologies LLC,curated
Maxsa Innovations,MAXSA Innovations LLC,curated
Streamlight,Streamlight Inc,curated
Radians,Radians Inc,curated
Amana Tool,Amana Tool Corp|Amana Tool Corporation,curated
Irwin,Irwin Industrial Tools|Irwin Tools,curated
Trex,Trex Company|Trex Company Inc,curated
TimberTech,AZEK|The AZEK Company,curated
LP Building Solutions,LP SmartSide|Louisiana-Pacific|Louisiana Pacific,curated
James Hardie,James Hardie Building Products|James Hardie Industries,curated
Andersen,Andersen Windows|Andersen Corporation,curated
United Window & Door,United Window & Door Manufacturing|United Windows and Doors,curated
Digger Specialties,DSI Westbury|Westbury Railing,curated
Century Components,Century Components Inc,curated
Schumacher Electric,Schumacher Electric Corporation,curated
StealthMounts,Stealth Mounts,curated
Nicholson,Nicholson Files,curated
MillerTech,MillerTech Energy Solutions,curated
Rees Cast Stone,Rees Cast Stone Company,curated
Premier Metals,Premier Metals Inc,curated
